Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,36.060001,37.590000,35.770000,37.570000,37.570000,3112700
2020-04-03,36.980000,37.049999,33.860001,34.590000,34.590000,3275400
2020-04-06,36.630001,38.520000,36.369999,36.950001,36.950001,4605100
2020-04-07,39.330002,39.450001,36.799999,37.020000,37.020000,3567800
2020-04-08,38.209999,39.180000,37.279999,38.840000,38.840000,2623300
2020-04-09,39.599998,41.669998,39.509998,40.759998,40.759998,2493400
2020-04-13,40.000000,40.360001,38.009998,39.650002,39.650002,2034200
2020-04-14,41.250000,41.509998,39.930000,41.000000,41.000000,1769000
2020-04-15,38.439999,39.150002,38.110001,38.590000,38.590000,1994300
2020-04-16,39.320000,39.500000,36.939999,37.700001,37.700001,3260600
2020-04-17,40.840000,41.340000,38.720001,39.970001,39.970001,5134500
2020-04-20,40.810001,42.330002,40.549999,41.389999,41.389999,2871300
2020-04-21,39.650002,40.299999,38.439999,38.970001,38.970001,2718600
2020-04-22,40.930000,41.049999,39.950001,40.779999,40.779999,2550400
2020-04-23,41.000000,41.840000,40.669998,40.880001,40.880001,2234200
2020-04-24,40.720001,40.799999,39.700001,39.950001,39.950001,1757300
2020-04-27,40.509998,40.740002,40.029999,40.590000,40.590000,2211700
2020-04-28,41.779999,42.369999,40.810001,40.840000,40.840000,2176900
2020-04-29,43.650002,44.919998,43.389999,44.910000,44.910000,3336200
2020-04-30,44.849998,44.849998,42.669998,43.349998,43.349998,2094200
2020-05-01,42.250000,42.320000,41.410000,42.099998,42.099998,1402300
2020-05-04,40.520000,40.959999,39.849998,40.700001,40.700001,2038600
2020-05-05,40.650002,41.660000,40.619999,40.759998,40.759998,1290000
2020-05-06,41.570000,41.689999,40.700001,40.740002,40.740002,1218300
2020-05-07,40.759998,41.630001,40.169998,40.310001,40.310001,2188500
2020-05-08,41.419998,41.669998,40.250000,40.590000,40.590000,2751800
2020-05-11,40.180000,40.200001,38.490002,38.520000,38.520000,4495800
2020-05-12,39.590000,41.750000,38.450001,40.380001,40.380001,7410100
2020-05-13,40.619999,40.619999,37.919998,37.980000,37.980000,6679400
2020-05-14,37.360001,38.410000,36.509998,37.590000,37.590000,7302000
2020-05-15,37.080002,37.310001,36.279999,36.439999,36.439999,5783000
2020-05-18,36.709999,36.990002,36.439999,36.529999,36.529999,7125300
2020-05-19,36.750000,36.830002,35.650002,35.869999,35.869999,3890000
2020-05-20,36.730000,37.959999,36.599998,37.770000,37.770000,2594400
2020-05-21,37.580002,38.040001,37.200001,37.200001,37.200001,2601300
2020-05-22,36.419998,36.730000,36.250000,36.720001,36.720001,1626000
2020-05-26,37.889999,38.099998,37.439999,37.599998,37.599998,3692300
2020-05-27,39.759998,40.900002,39.279999,40.820000,40.820000,5130100
2020-05-28,42.009998,42.009998,41.060001,41.099998,41.099998,5337400
2020-05-29,40.790001,41.990002,40.779999,41.830002,41.830002,3126800
2020-06-01,42.459999,43.209999,42.060001,42.509998,42.509998,2316300
2020-06-02,43.619999,44.680000,43.500000,44.599998,44.599998,3382800
2020-06-03,45.490002,46.150002,45.389999,46.090000,46.090000,3884200
2020-06-04,45.720001,46.220001,44.980000,45.380001,45.380001,3543600
2020-06-05,47.639999,47.650002,46.639999,47.610001,47.610001,3363600
2020-06-08,46.810001,47.000000,45.650002,45.830002,45.830002,2556100
2020-06-09,44.660000,44.680000,43.700001,43.869999,43.869999,3040000
2020-06-10,44.200001,44.380001,43.520000,43.630001,43.630001,1824600
2020-06-11,41.939999,42.180000,40.610001,40.730000,40.730000,4015700
2020-06-12,42.700001,43.090000,41.709999,42.330002,42.330002,2510600
2020-06-15,41.220001,42.230000,40.790001,41.779999,41.779999,2270800
2020-06-16,43.000000,43.470001,42.480000,42.720001,42.720001,1915800
2020-06-17,42.830002,43.000000,42.540001,42.720001,42.720001,1523100
2020-06-18,43.509998,44.419998,43.400002,43.750000,43.750000,1419500
2020-06-19,44.630001,45.080002,44.099998,44.689999,44.689999,2611700
2020-06-22,44.590000,45.119999,44.360001,44.720001,44.720001,1751900
2020-06-23,45.509998,46.230000,45.349998,45.430000,45.430000,2453300
2020-06-24,44.799999,44.799999,43.650002,44.110001,44.110001,1616500
2020-06-25,43.590000,45.930000,43.590000,45.650002,45.650002,2481200
2020-06-26,45.349998,46.000000,44.930000,45.090000,45.090000,2031000
2020-06-29,45.660000,45.849998,45.220001,45.619999,45.619999,2149200
2020-06-30,45.529999,45.630001,44.980000,45.459999,45.459999,1625000
2020-07-01,46.189999,48.209999,46.080002,47.930000,47.930000,3796800
2020-07-02,48.480000,48.720001,47.639999,47.759998,47.759998,1627800
2020-07-06,49.060001,49.439999,48.639999,48.820000,48.820000,1209300
2020-07-07,49.000000,49.040001,47.790001,47.919998,47.919998,1679500
2020-07-08,48.189999,48.689999,47.840000,48.630001,48.630001,2009900
2020-07-09,48.630001,48.860001,48.009998,48.549999,48.549999,1378500
2020-07-10,47.630001,48.419998,47.459999,48.389999,48.389999,1337600
2020-07-13,47.540001,47.720001,46.740002,47.020000,47.020000,2154300
2020-07-14,45.830002,46.380001,45.619999,46.299999,46.299999,1714400
2020-07-15,46.700001,47.410000,46.599998,46.730000,46.730000,1328300
2020-07-16,46.520000,46.779999,46.240002,46.459999,46.459999,808100
2020-07-17,47.610001,47.680000,47.270000,47.279999,47.279999,1230000
2020-07-20,49.160000,51.820000,48.970001,51.509998,51.509998,4134000
2020-07-21,51.470001,52.150002,51.439999,52.049999,52.049999,2112900
2020-07-22,50.610001,51.060001,49.889999,50.119999,50.119999,1695500
2020-07-23,50.090000,50.730000,49.919998,50.150002,50.150002,1174500
2020-07-24,49.889999,50.259998,49.540001,50.250000,50.250000,2584100
2020-07-27,48.459999,49.099998,48.360001,48.549999,48.549999,2870900
2020-07-28,48.040001,48.709999,47.930000,48.500000,48.500000,1853800
2020-07-29,47.759998,48.709999,47.759998,48.709999,48.709999,2929700
2020-07-30,47.070000,47.770000,47.070000,47.529999,47.529999,2144300
2020-07-31,46.799999,47.230000,46.169998,46.750000,46.750000,2879200
2020-08-03,45.709999,46.099998,45.400002,45.759998,45.759998,2728400
2020-08-04,47.250000,47.250000,45.910000,46.310001,46.310001,1729400
2020-08-05,46.450001,46.770000,46.090000,46.410000,46.410000,1379500
2020-08-06,46.570000,46.730000,46.099998,46.310001,46.310001,1215200
2020-08-07,46.480000,46.529999,45.910000,46.529999,46.529999,1407900
2020-08-10,47.099998,47.240002,45.959999,46.139999,46.139999,1374800
2020-08-11,47.299999,47.770000,47.040001,47.040001,47.040001,1599200
2020-08-12,47.709999,47.830002,46.770000,47.150002,47.150002,1188000
2020-08-13,46.650002,47.470001,46.320000,47.150002,47.150002,1337900
2020-08-14,46.180000,47.049999,46.139999,46.669998,46.669998,1300500
2020-08-17,46.200001,46.490002,45.560001,45.869999,45.869999,1472100
2020-08-18,47.000000,47.720001,46.910000,47.570000,47.570000,1856000
2020-08-19,47.099998,47.669998,47.049999,47.189999,47.189999,866700
2020-08-20,46.779999,47.889999,46.689999,47.720001,47.720001,1030400
2020-08-21,48.299999,48.590000,48.040001,48.400002,48.400002,824500
2020-08-24,49.970001,50.150002,49.419998,49.709999,49.709999,1736700
2020-08-25,50.009998,50.200001,49.520000,50.090000,50.090000,999700
2020-08-26,50.189999,50.250000,49.439999,49.720001,49.720001,1050600
2020-08-27,49.290001,49.639999,49.049999,49.410000,49.410000,1864400
2020-08-28,50.209999,51.270000,50.139999,51.090000,51.090000,1271400
2020-08-31,49.980000,50.250000,49.599998,49.599998,49.599998,1107200
2020-09-01,50.750000,51.410000,50.509998,51.270000,51.270000,1284600
2020-09-02,51.189999,51.919998,50.950001,51.759998,51.759998,1081400
2020-09-03,51.360001,51.650002,50.450001,50.889999,50.889999,1246200
2020-09-04,50.889999,51.020000,49.310001,50.099998,50.099998,1411300
2020-09-08,49.560001,50.169998,49.330002,49.470001,49.470001,1590500
2020-09-09,49.730000,50.270000,49.639999,49.849998,49.849998,914700
2020-09-10,49.680000,50.080002,49.020000,49.270000,49.270000,1377000
2020-09-11,49.290001,49.400002,48.750000,49.330002,49.330002,1018500
2020-09-14,48.700001,49.110001,48.490002,48.820000,48.820000,1028900
2020-09-15,49.570000,49.820000,49.380001,49.490002,49.490002,1048700
2020-09-16,49.750000,50.599998,49.709999,50.459999,50.459999,1114800
2020-09-17,49.849998,50.250000,49.630001,50.230000,50.230000,766300
2020-09-18,48.919998,49.299999,48.709999,48.990002,48.990002,1139000
2020-09-21,48.259998,48.259998,47.459999,48.090000,48.090000,1330700
2020-09-22,47.689999,48.369999,47.570000,48.270000,48.270000,1151700
2020-09-23,48.470001,48.669998,47.980000,48.080002,48.080002,1159300
2020-09-24,47.020000,47.910000,46.619999,47.639999,47.639999,981100
2020-09-25,47.939999,48.660000,47.529999,48.630001,48.630001,879100
2020-09-28,48.900002,49.290001,48.509998,48.540001,48.540001,1249600
2020-09-29,48.779999,49.110001,48.410000,48.959999,48.959999,1496300
2020-09-30,49.590000,50.590000,49.209999,49.959999,49.959999,1747300
2020-10-01,51.049999,51.980000,51.000000,51.779999,51.779999,1230400
2020-10-02,51.439999,52.180000,51.080002,51.770000,51.770000,988000
2020-10-05,52.240002,52.889999,52.160000,52.520000,52.520000,1446500
2020-10-06,53.750000,54.110001,53.250000,53.290001,53.290001,1159200
2020-10-07,54.049999,54.400002,53.849998,53.950001,53.950001,960500
2020-10-08,54.889999,55.299999,54.000000,54.849998,54.849998,1746900
2020-10-09,56.310001,56.680000,56.080002,56.220001,56.220001,1253900
2020-10-12,55.000000,55.990002,55.000000,55.750000,55.750000,878600
2020-10-13,54.730000,55.770000,54.630001,55.709999,55.709999,1284700
2020-10-14,56.099998,56.660000,55.900002,56.410000,56.410000,941200
2020-10-15,54.470001,55.480000,54.349998,55.400002,55.400002,1335000
2020-10-16,56.669998,56.709999,55.610001,56.000000,56.000000,1158500
2020-10-19,56.750000,57.959999,56.509998,57.400002,57.400002,2268300
2020-10-20,58.299999,59.419998,58.259998,58.900002,58.900002,2615000
2020-10-21,59.119999,59.840000,58.770000,59.779999,59.779999,1273600
2020-10-22,59.340000,60.150002,59.200001,60.020000,60.020000,1953100
2020-10-23,59.660000,60.380001,59.660000,60.360001,60.360001,1213900
